"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","order","seasonal_order","mape","data"
"2025-02-04 01:35:16","5.0s","fa20378f42ef4af0863091fe7e420287","carefree-wasp-899","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.27742287141257066","337"
"2025-02-04 01:35:11","4.6s","c81c1430e360430d936ab377990dffae","chill-mole-716","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.34110672151035887","336"
"2025-02-04 01:35:07","3.9s","7ce89530855e4d2b816800a9b39c297f","blushing-asp-137","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.3403869602493087","335"
"2025-02-04 01:35:01","6.3s","0b8061e0724a42c99bb74f3e44aa6c69","popular-crow-366","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.2903589886017077","334"
"2025-02-04 01:34:55","5.6s","ad4a0fea5803435e98288b6e2eb83b4f","capricious-rat-786","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.27720431796432127","333"
"2025-02-04 01:34:49","6.0s","d5c9e62bb55242aab1c652ebdca4bbb2","capable-sloth-397","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.3406053278531301","332"
"2025-02-04 01:34:44","5.4s","5691aab75b3e442ea4f656533efe35af","handsome-sloth-941","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.2278555027455545","331"
"2025-02-04 01:34:38","5.6s","1ab13dd01b514fada061a905960532f6","enthused-donkey-422","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.3306434623948344","330"
"2025-02-04 01:34:33","5.3s","1e929407588344ccbf698c0a439f459c","burly-horse-536","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.2873445080261962","329"
"2025-02-04 01:34:28","4.7s","ff339da6a4164c53bd73305683ac7595","secretive-bird-767","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.3276497425171068","328"
